No,Valid,Message,Issue-url,Tag,Category
0,False,nan, , ,None
1,False,scegxmprogram unknown fielddefined program, , ,None
2,False,custom setting, , ,None
3,False,ifreg, , ,None
4,False,shader source correctpiece named virus unlimited crashauthored fewdspuckrito, , ,None
5,False,module scectrlrumble xinput supportauthored german juangerman, , ,None
6,False,external updateprobably native support dualsense, , ,None
7,False,missing atomic header, , ,None
8,False,async, , ,None
9,False,cacheauthored whatleytay, , ,None
10,False,handle called sceavplayer false module return invalid, , ,None
11,False,completewarningsmall refactor, , ,None
12,False,translation, , ,None
13,False,interface patchlicense prevent crash, , ,None
14,False,context refactor deletedelete prevent crash successfolderprevent crash, , ,Risky_resource_management
15,False,missing update, , ,None
16,False,contextrefactor loaded, , ,None
17,False,theme scroll arrow setting, , ,None
18,False,context, , ,None
19,False,project windowgeneratepause script, , ,None
20,False,compilation already boost exists build system, , ,None
21,False,build method removecmake toolchain workflow github updatebuild reflect update methodcmake script generation command update build project, , ,None
22,False,build improve procedureintegrates cmake process procedure boost build configurecmake setup toolchain easier environment, , ,None
23,False,theme content settingimprove position, , ,None
24,False,interface empty installempty content using, , ,None
25,False,small refactor noticecausing double millisecond value usingavailable found using content, , ,None
26,False,interface directory addcont, , ,None
27,False,context shader folder delete, , ,None
28,False,title setting custom config dialogremove, , ,None
29,False,title renderer exist using folderrestore commit removed accident, , ,None
30,False,swizzle format textureauthored karokidii, , ,None
31,False,valuerender vallkyrie error, , ,None
32,False,renderer cache random texture crash, , ,Risky_resource_management
33,False,nan, , ,None
34,False,alloc allignment, , ,None
35,False,nan, , ,None
36,False,nan, , ,None
37,False,kernel implement, , ,None
38,False,kernelstate kernel state sysmem, , ,None
39,False,module scegxmvalkyrie allow, , ,None
40,False,content allow install interface foldercontent installrefactor executeparam refactor multiple, , ,None
41,False,vitak version, , ,None
42,False,clang apply, , ,None
43,False,aligned shader buffer support, , ,None
44,False,toggleable renderer cache hashless texture, , ,None
45,False,exception handler implement, , ,None
46,False,rename allocator bitmap, , ,None
47,False,prevent crash, , ,None
48,False,dirty renderer, , ,None
49,False,window write protect supportdecommit window properly memoryrenderer dirty based protect texture writeoptimized custom allocator table, , ,None
50,False,bitmapallocator, , ,None
51,False,dynarmic external update, , ,None
52,False,archive refactor install dialogallow archive install using folder, , ,None
53,False,update notice, , ,None
54,False,renderer fragment depth writing allow disabled program, , ,None
55,False,alreadylimit, , ,None
56,False,module scegxmauthored karokidii, , ,None
57,False,modifier shader write decoding, , ,None
58,False,submitting module scegxm, , ,None
59,False,zeropage invalidtable invalid, , ,None
60,False,renderer buffer properly, , ,None
61,False,kernel, , ,None
62,False,kernel uninits, , ,None
63,False,renderer fragment masking overhaul, , ,None
64,False,cycle correct, , ,None
65,False,vitak remove, , ,None
66,False,optimization fastmem disable, , ,None
67,False,process param ignore kernel invalid, , ,None
68,False,nullptr allow, , ,None
69,False,kernel regression, , ,None
70,False,argument guest implement function stack kernel, , ,None
71,False,kernel threadstate constructor, , ,None
72,False,kernel regression waitthread, , ,None
73,False,dynarmic external update, , ,None
74,False,renderer format color, , ,None
75,False,rename runner function thread kernelkernel contextkernel various style, , ,None
76,False,parameter remove, , ,None
77,False,noticeorder saved reworksenable seletableselector button position, , ,None
78,False,current setting apply using running dialogrefactor, , ,None
79,False,tracing instruction implement simple, , ,None
80,False,valid parent called debugger crash withoutprior setting happens configured initialization debug kernel, , ,Risky_resource_management
81,False,dynarmic config default, , ,None
82,False,config change vector loadedtitle setting refactor display custom dialogwarning config custom, , ,None
83,False,kernel thread runclocks, , ,None
84,False,kernel generate, , ,None
85,False,state voice transition finished, , ,None
86,False,missing kernel revertreverts commit, , ,None
