No,Valid,Message,Issue-url,Tag,Category
0,False,appcast copied, , ,None
1,False,sparkle update, , ,None
2,False,rocket release publish, , ,None
3,False,appcast copied, , ,None
4,True,mergerequest bomberstudios sketch mergeanalytics google issue latest sketch,https://api.github.com/repos/manfredsteyer/angular-oauth2-oidc/issues/149, ,None
5,False,build update product, , ,None
6,False,analytics google issue latest sketch, , ,None
7,False,update, , ,None
8,False,appcast copied, , ,None
9,False,sparkle update, , ,None
10,False,rocket release publish, , ,None
11,False,cacdc mergedevelop branch merge, , ,None
12,False,donate fixed website added option, , ,None
13,False,mergedevelop master branch merge, , ,None
14,False,update, , ,None
15,False,appcast copied, , ,None
16,False,sparkle update, , ,None
17,False,rocket release publish, , ,None
18,False,bbfdc mergerenameit master branch merge, , ,None
19,False,appcast copied, , ,None
20,False,sparkle update, , ,None
21,False,rocket release publish, , ,None
22,True,change replace wrong layer,https://api.github.com/repos/manfredsteyer/angular-oauth2-oidc/issues/134, ,None
23,False,description changed, , ,None
24,False,appcast copied, , ,None
25,False,sparkle update, , ,None
26,False,rocket release publish, , ,None
27,False,mergedevelop branch feature position merge sequence, , ,None
28,True,sequence positionclose issue,https://api.github.com/repos/manfredsteyer/angular-oauth2-oidc/issues/132, ,None
29,False,added dropdown, , ,None
30,False,dropdown changed select, , ,None
31,False,initial style added setting select, , ,None
32,False,mergedevelop master branch merge, , ,None
33,False,mergemaster branch feature position merge sequence, , ,None
34,False,trying, , ,None
35,False,mergerenameit master branch merge, , ,None
36,False,moved, , ,None
37,False,jekyll cayman theme, , ,None
38,False,redirect javascript, , ,None
39,False,redict another, , ,None
40,False,mergedevelop branch merge, , ,None
41,False,website redirect, , ,None
42,False,submit rename issue fixed, , ,None
43,False,version, , ,None
44,False,added yposition, , ,None
45,False,finished positon inital, , ,None
46,False,mergedevelop master branch merge, , ,None
47,False,appcast copied, , ,None
48,False,sparkle update, , ,None
49,False,rocket release publish, , ,None
50,False,eaaec mergedevelop quick merge, , ,None
51,False,mergehotfix quick branch merge, , ,None
52,False,order layer fixed, , ,None
53,False,fffbe mergedevelop master branch merge, , ,None
54,False,replaced, , ,None
55,False,appcast copied, , ,None
56,False,sparkle update, , ,None
57,False,rocket release publish, , ,None
58,True,child close layer,https://api.github.com/repos/manfredsteyer/angular-oauth2-oidc/issues/133, ,None
59,False,fffbe mergedevelop branch merge, , ,None
60,False,added child layer, , ,None
61,False,mergedevelop master branch merge, , ,None
62,False,appcast copied, , ,None
63,False,sparkle update, , ,None
64,False,rocket release publish, , ,None
65,False,update, , ,None
66,False,update, , ,None
67,False,appcast copied, , ,None
68,False,sparkle update, , ,None
69,False,rocket release publish, , ,None
70,False,appcast copied, , ,None
71,False,sparkle update, , ,None
72,False,rocket release publish, , ,None
73,False,sparkle update, , ,None
74,False,rocket release publish, , ,None
75,False,sparkle update, , ,None
76,False,rocket release publish, , ,None
77,False,sparkle update, , ,None
78,False,rocket release publish, , ,None
79,False,sparkle update, , ,None
80,False,rocket release publish, , ,None
81,False,added, , ,None
82,False,mergedevelop branch merge, , ,None
83,False,mergedevelop feature branch merge, , ,None
84,False,mixpanel piece removed, , ,None
85,False,added mixpanel google removed, , ,None
86,False,style, , ,None
87,False,skwtch migrated webview latest, , ,None
88,False,mergedevelop master branch merge, , ,None
89,False,updated, , ,None
90,True,bbbfaf mergerequest master dwinurhadia mergeupdate,https://api.github.com/repos/manfredsteyer/angular-oauth2-oidc/issues/127, ,None
91,False,update, , ,None
92,False,mergedevelop master branch merge, , ,None
93,False,fixed, , ,None
94,False,update, , ,None
95,False,update, , ,None
96,False,create, , ,None
97,False,appcast copied, , ,None
98,False,sparkle update, , ,None
99,False,rocket release publish, , ,None
100,False,mergedevelop branch merge, , ,None
101,True,issue compability,https://api.github.com/repos/manfredsteyer/angular-oauth2-oidc/issues/122, ,None
102,False,mergedevelop master branch merge, , ,None
103,False,appcast copied, , ,None
104,False,sparkle update, , ,None
105,False,rocket release publish, , ,None
106,False,rocket release publish, , ,None
107,False,appcast copied, , ,None
