No,Valid,Message,Issue-url,Tag,Category
0,True,mergesvenstaro dependabot instant request cargo mergeinstant,https://api.github.com/repos/MinecraftForge/MinecraftForge/issues/234, ,None
1,True,mergesvenstaro dependabot request cargo anyhow mergeanyhow,https://api.github.com/repos/MinecraftForge/MinecraftForge/issues/233, ,None
2,False,instantsebcrozet instantsebcrozet release instantsebcrozet commits instantdependency updateddependency instantdependency direct productionsemver update version patchsigned support dependabot, , ,None
3,False,anyhowanyhow dtolnayanyhow release dtolnayanyhow commits dtolnay comparedependency updateddependency anyhowdependency direct productionsemver update version patchsigned support dependabot, , ,None
4,True,mergesvenstaro dependabot structopt request cargo mergestructopt,https://api.github.com/repos/MinecraftForge/MinecraftForge/issues/231, ,None
5,True,mergerequest crocmagnon patch mergemethod homebrew install,https://api.github.com/repos/MinecraftForge/MinecraftForge/issues/232, ,None
6,False,method homebrew installadvertise readme available package homebrew, , ,None
7,False,structoptstructopt texitoirelease structopt texitoichangelog master structopt texitoicommits structopt texitoi comparedependency updateddependency structoptdependency direct productionsemver update version patchsigned support dependabot, , ,None
8,True,mergesvenstaro dependabot request cargo merge,https://api.github.com/repos/MinecraftForge/MinecraftForge/issues/229, ,None
9,True,mergesvenstaro dependabot request cargo merge,https://api.github.com/repos/MinecraftForge/MinecraftForge/issues/230, ,None
10,False,randomrelease randomchangelog master randomcommits compare randomdependency updateddependencydependency direct productionsemver update version patchsigned support dependabot, , ,None
11,False,randomrelease randomchangelog master randomcommits compare randomdependency updateddependencydependency direct productionsemver update version patchsigned support dependabot, , ,None
12,True,mergesvenstaro dependabot request cargo anyhow mergeanyhow,https://api.github.com/repos/MinecraftForge/MinecraftForge/issues/228, ,None
13,False,anyhowanyhow dtolnayanyhow release dtolnayanyhow commits dtolnay comparedependency updateddependency anyhowdependency direct productionsemver update version patchsigned support dependabot, , ,None
14,True,mergesvenstaro dependabot getrandom request cargo mergegetrandom,https://api.github.com/repos/MinecraftForge/MinecraftForge/issues/225, ,None
15,True,mergesvenstaro dependabot request cargo humansize mergehumansize,https://api.github.com/repos/MinecraftForge/MinecraftForge/issues/226, ,None
16,False,humansizeleopoldarkham humansizeleopoldarkham release humansizeleopoldarkham commits humansizesigned support dependabot, , ,None
17,False,getrandomgetrandom randomgetrandom release randomchangelog master getrandom randomgetrandom commits compare randomsigned support dependabot, , ,None
18,True,mergefuture svenstaro dependabot request cargo mergefuture,https://api.github.com/repos/MinecraftForge/MinecraftForge/issues/224, ,None
19,False,futurefuturefuture releasechangelog future masterfuture commits comparesigned support dependabot, , ,None
20,True,mergefuture svenstaro dependabot request cargo bindgen mergefuture bindgen,https://api.github.com/repos/MinecraftForge/MinecraftForge/issues/221, ,None
21,True,mergesvenstaro dependabot request cargo merge,https://api.github.com/repos/MinecraftForge/MinecraftForge/issues/220, ,None
22,False,future bindgenrustwasm future bindgenrustwasm release bindgenchangelog master bindgen rustwasmrustwasm commits bindgensigned support dependabot, , ,None
23,False,rustwasm bindgenrustwasm release bindgenchangelog master bindgen rustwasmrustwasm commits bindgensigned support dependabot, , ,None
24,False,target proper toolchain install, , ,None
25,False,bindgen install, , ,None
26,False,switch forgotten trunk, , ,None
27,False,nan, , ,None
28,False,ignore dependabot, , ,None
29,True,cfbaf mergeconfig svenstaro dependabot request mergenative upgrade github dependabot,https://api.github.com/repos/MinecraftForge/MinecraftForge/issues/218, ,None
30,False,native upgrade github dependabot, , ,None
31,True,mergemerge svenstaro request trunk switchswitch trunk,https://api.github.com/repos/MinecraftForge/MinecraftForge/issues/217, ,None
32,False,switch trunk, , ,None
