No,Url,Valid,Message,Issue-url,Tag,Category,
0,https://api.github.com/repos/DeviaVir/zenbot/commits/f60c381593bb5adb9d2a700bd341777482f3b99b,FALSE, fix upgrade ccxt 1.51.46 1.52.26 2727 snyk created upgrade ccxt 1.51.46 1.52.26 see package npm http www.npmjs.com package ccxt see project snyk http app.snyk.io org deviavir project 14e19887 e219 40d4 89b6 6c657bf78942 utm_source github utm_medium upgrade, , ,None,
1,https://api.github.com/repos/DeviaVir/zenbot/commits/76c3bd4047b7230b59de3287fb5fdc9ec731c525,FALSE, fix upgrade snyk 1.630.0 1.652.0 2728 snyk created upgrade snyk 1.630.0 1.652.0 see package npm http www.npmjs.com package snyk see project snyk http app.snyk.io org deviavir project 14e19887 e219 40d4 89b6 6c657bf78942 utm_source github utm_medium upgrade, , ,None,
2,https://api.github.com/repos/DeviaVir/zenbot/commits/b0717082f5d095259bbfb55a3f3afe9f8722bce1,FALSE, fix upgrade webpack 5.38.1 5.41.1 2729 snyk created upgrade webpack 5.38.1 5.41.1 see package npm http www.npmjs.com package webpack see project snyk http app.snyk.io org deviavir project 14e19887 e219 40d4 89b6 6c657bf78942 utm_source github utm_medium upgrade, , ,None,
3,https://api.github.com/repos/DeviaVir/zenbot/commits/d5c5101a7302d4bea49b2406aff8e34c3581fb1f,FALSE, fix upgrade mini extract plugin 1.6.0 1.6.2 2730 snyk created upgrade mini extract plugin 1.6.0 1.6.2 see package npm http www.npmjs.com package mini extract plugin see project snyk http app.snyk.io org deviavir project 14e19887 e219 40d4 89b6 6c657bf78942 utm_source github utm_medium upgrade, , ,None,
4,https://api.github.com/repos/DeviaVir/zenbot/commits/d626143b4ba366197ec40c872656316a08620b8e,FALSE, fix upgrade 7.4.6 7.5.1 2731 snyk created upgrade 7.4.6 7.5.1 see package npm http www.npmjs.com package see project snyk http app.snyk.io org deviavir project 14e19887 e219 40d4 89b6 6c657bf78942 utm_source github utm_medium upgrade, , ,None,
5,https://api.github.com/repos/DeviaVir/zenbot/commits/e0aa1418d82e88437d49d3f4e3cb9dfdd1193d89,FALSE, build deps bump set getter 0.1.0 0.1.1 2723 bump set getter http github.com doowb set getter 0.1.0 0.1.1 release note http github.com doowb set getter release commits http github.com doowb set getter commits 0.1.1  updated dependency dependency name set getter dependency type indirect ... signed dependabot bot support github.com authored dependabot bot 49699333 dependabot bot, , ,None,
6,https://api.github.com/repos/DeviaVir/zenbot/commits/f4bc9ea43da95de8cfbdaeb9fcc91d978b67a689,FALSE, build deps bump normalize url 4.5.0 4.5.1 2724 bump normalize url http github.com sindresorhus normalize url 4.5.0 4.5.1 release note http github.com sindresorhus normalize url release commits http github.com sindresorhus normalize url commits  updated dependency dependency name normalize url dependency type indirect ... signed dependabot bot support github.com authored dependabot bot 49699333 dependabot bot, , ,None,
7,https://api.github.com/repos/DeviaVir/zenbot/commits/25a85e9428bbdc8e6c4191687d8f32fdabbac020,FALSE, build deps bump trim newlines 1.0.0 3.0.1 2725 bump trim newlines http github.com sindresorhus trim newlines 1.0.0 3.0.1 release note http github.com sindresorhus trim newlines release commits http github.com sindresorhus trim newlines commits  updated dependency dependency name trim newlines dependency type indirect ... signed dependabot bot support github.com authored dependabot bot 49699333 dependabot bot, , ,None,
8,https://api.github.com/repos/DeviaVir/zenbot/commits/f215632bf5940c6c0f878f7657e4c79ef290ae2d,FALSE, fix upgrade snyk 1.646.0 1.650.0 2722 snyk created upgrade snyk 1.646.0 1.650.0 see package npm http www.npmjs.com package snyk see project snyk http app.snyk.io org deviavir project 372caf70 2dd3 48b7 95f2 020916427ffa utm_source github utm_medium upgrade, , ,None,
9,https://api.github.com/repos/DeviaVir/zenbot/commits/d37709c6db00b45666efe0b49fc63307ce28fc59,FALSE, fix upgrade snyk 1.630.0 1.646.0 2721 snyk created upgrade snyk 1.630.0 1.646.0 see package npm http www.npmjs.com package snyk see project snyk http app.snyk.io org deviavir project 372caf70 2dd3 48b7 95f2 020916427ffa utm_source github utm_medium upgrade, , ,None,
10,https://api.github.com/repos/DeviaVir/zenbot/commits/464705d2d666de97dfa8e15c92cc8bbf9094f93d,FALSE, fix package.json reduce vulnerability 2720 following vulnerability fixed upgrade http snyk.io vuln snyk trimnewlines 1298042, , ,None,
11,https://api.github.com/repos/DeviaVir/zenbot/commits/30284f34de4e61733bf77d194fa228b239000d3b,FALSE, fix upgrade jquery 3.5.1 3.6.0 2719 snyk created upgrade jquery 3.5.1 3.6.0 see package npm http www.npmjs.com package jquery see project snyk http app.snyk.io org deviavir project 14e19887 e219 40d4 89b6 6c657bf78942 utm_source github utm_medium upgrade, , ,None,
