No,Valid,Message,Issue-url,Tag,Category
0,False,sponsor update image, , ,None
1,False,hotwired support addedjudah authored, , ,None
2,False,changelog update referencewrong release described change pointing, , ,None
3,False,caching optional configuration bundle document reactonrailsprocaching optional configuration bundle document reactonrailsprorubocop versiongordon justin authored, , ,None
4,False,update, , ,None
5,False,interactive release format change, , ,None
6,False,release, , ,None
7,False,release script expectsadded, , ,None
8,False,allow throw rendering option addedallow throw rendering option addedthrow caught error rather, , ,None
9,False,release, , ,None
10,False,module abilitymodule ability method assign addedconfiguration basic, , ,None
11,False,improve method utilityimprove method utilitywarning react, , ,None
12,False,control webpacker interferes settingparticularlyasset using production compilingasset bundle development webpacker precompileconfiguration production ratherrozanski authored, , ,None
13,False,website orderchange gitbook removereplace absolute relative, , ,None
14,False,router upgrade reactupdate rendering deferredupdate rename deferred, , ,None
15,False,rorproversion value contextunused comment configrorproversion conditional value context, , ,None
16,False,dummyisaacrelease isaaccommits isaac comparesigned support dependabotauthored dependabotgordon justin authored, , ,None
17,False,notifiernotifier mikaelbrnotifier release mikaelbrchangelog notifier mikaelbrnotifier commits compare mikaelbrsigned support dependabotauthored dependabotgordon justin authored, , ,None
18,False,nan, , ,None
19,False,update webpack, , ,None
20,False,update, , ,None
21,False,create integration webpacker react, , ,None
22,False,circleci config trigger update website build usingdeploy websitelogic, , ,None
23,False,dependency updaterubocop performanceupdate regarding global installupdate packagejudah authored, , ,None
24,False,release, , ,None
25,False,rubocop cleanup specificationupdate, , ,None
26,False,generator version exact specify packagematching version latest otherwise might usingprior patch, , ,None
27,False,update, , ,None
28,False,message reactupdateupdate, , ,None
29,False,update, , ,None
30,False,config update webpackupgrade linting package, , ,None
31,False,upgrading update react, , ,None
32,False,release, , ,None
33,False,update dummy, , ,None
34,False,updated, , ,None
35,False,upgrading update react, , ,None
36,False,release, , ,None
37,False,asynch loading setup script properasync optimizes bundle loading scriptasync loaded handler determine functioncomponent example loadableloadableready server client rendering loadablereact component supported loadablereact, , ,None
38,False,action github improverspecinotify watcher increase countdriver chrome option, , ,None
39,False,webpack config improve setupconfig webpack depend simplified closelyshakacode, , ,None
40,False,instruction update, , ,None
41,False,action githubfirst github action, , ,None
42,False,release, , ,None
43,False,dependency redux removedependency using missing redux, , ,None
44,False,travis, , ,None
45,False,updateupdate react serverupdate client serverupdate react server, , ,None
46,False,change, , ,None
47,False,package redundant babel remove, , ,None
48,False,reloading update webpack, , ,None
49,False,update, , ,None
50,False,upgrading update react, , ,None
