No,Valid,Message,Issue-url,Tag,Category
0,True,mergerestore merge graingert request wheel,https://api.github.com/repos/twisted/twisted/issues/1638, ,None
1,False,updateauthored adiroiban roiban, , ,None
2,False,mergerestore merge trunk branch wheel, , ,None
3,True,mergedelayedcall merge graingert request revert loopingcallfunction accept callables loopingcall deferlater,https://api.github.com/repos/twisted/twisted/issues/1637, ,None
4,False,restore building, , ,None
5,False,wheel remove revertreverts commit, , ,None
6,False,newsfragment, , ,None
7,False,attribute available revert extra logic version pythonreverts commit, , ,None
8,True,mergeconch merge request constant compareauthorglyph reviewerticketticketsecret similar constant,https://api.github.com/repos/twisted/twisted/issues/1580, ,None
9,False,mergeconch merge trunk branch constant compare, , ,None
10,True,mergetwisted release request mergemerge conflict prevent deleteauthor adiroibangraingert reviewerticket,https://api.github.com/repos/twisted/twisted/issues/1635, ,None
11,False,newsfragment create, , ,None
12,False,merge conflict prevent delete, , ,None
13,True,ffebb mergecoverage merge graingert request upgradeupgrade coverage,https://api.github.com/repos/twisted/twisted/issues/1633, ,None
14,False,babde mergecoverage merge upgrade trunk branch, , ,None
15,True,abeaf mergeinline merge request callback richvdh,https://api.github.com/repos/twisted/twisted/issues/1632, ,None
16,False,upgrade coveragerelease another removed coveragepy change branch integrated, , ,None
17,False,twisted newsfragments updatethomas authored tagrain grainger, , ,None
18,False,abeaf mergeremote inline merge callback branch trunk tracking origin, , ,None
19,False,update, , ,None
20,True,mergemerge raise compat request related remove twistedcompatability related remove reraise,https://api.github.com/repos/twisted/twisted/issues/1620, ,None
21,False,unused import remove, , ,None
22,False,capture redundant, , ,None
23,False,suggestion apply review, , ,None
24,False,mergeinline merge callback trunk branch, , ,None
25,False,nan, , ,None
26,False,newsfile, , ,None
27,False,result typevar inlinecallbacks, , ,None
28,False,mergemerge raise compat trunk branch remove related, , ,None
29,True,mergemerge graingert request commit autoupdatecommit autoupdate,https://api.github.com/repos/twisted/twisted/issues/1619, ,None
30,False,mergemerge trunk autoupdate branch commit, , ,None
31,True,mergegraingert request mergearound calling absolute filename making,https://api.github.com/repos/twisted/twisted/issues/1628, ,None
32,False,nan, , ,None
33,False,remove, , ,None
34,False,twisted trial update, , ,None
35,False,newsfragment, , ,None
36,False,aroundticket, , ,None
37,False,modulename mandatorypreviously unused, , ,None
38,False,modulename, , ,None
39,False,ddace mergetrunk branch merge, , ,None
40,False,nan, , ,None
41,True,dfdad bacaea mergegraingert request annotation mergeannotate,https://api.github.com/repos/twisted/twisted/issues/1627, ,None
42,False,annotate, , ,None
43,False,bacaea mergemerge trunk autoupdate branch commit, , ,None
44,True,mergegraingert request mergesupport,https://api.github.com/repos/twisted/twisted/issues/1625, ,None
45,False,rename, , ,None
46,False,support, , ,None
47,False,compatability related remove reraise, , ,None
48,False,mergemerge trunk autoupdate branch commit, , ,None
49,True,mergecheck merge request twisted staticauthor adiroibanaltendky reviewerticketmerge newsfragment based branch checker,https://api.github.com/repos/twisted/twisted/issues/1617, ,None
50,False,newsfragment, , ,None
51,False,nan, , ,None
52,False,commit autoupdate, , ,None
53,False,remove concurency, , ,None
54,False,nan, , ,None
55,False,workflow, , ,None
56,False,newsfragemnt branch, , ,None
57,True,mergemerge request priority twisted ecdsaauthor adiroibanreviewerticketnistp document lower priority,https://api.github.com/repos/twisted/twisted/issues/1602, ,None
58,False,mergemerge priority trunk branch ecdsa, , ,None
59,True,mergeerror merge graingert request haproxyipaddress error haproxy,https://api.github.com/repos/twisted/twisted/issues/1612, ,None
60,False,twisted haproxy update protocolauthored adiroiban roiban, , ,None
61,False,twisted newsfragments updateauthored adiroiban roiban, , ,None
62,False,mergeerror merge haproxy trunk branch, , ,None
63,True,mergegraingert request upgrade merge,https://api.github.com/repos/twisted/twisted/issues/1615, ,None
64,False,nan, , ,None
65,False,received correctly spell, , ,None
66,False,mergeerror merge haproxy trunk branch, , ,None
67,False,coverage increase, , ,None
68,True,fcbbbbe mergetwisted request libera mergeauthor adiroibangraingert reviewerticketfreenode readme remove documentation,https://api.github.com/repos/twisted/twisted/issues/1611, ,None
69,False,fcbbbbe mergetrunk branch libera merge, , ,None
70,False,fcbbbbe mergeerror merge haproxy trunk branch, , ,None
71,True,edcce mergegraingert request upgrade merge,https://api.github.com/repos/twisted/twisted/issues/1610, ,None
72,False,twisted python update, , ,None
73,False,upgrade, , ,None
74,False,wildcard expand ignore, , ,None
75,False,ipaddress error haproxy, , ,None
76,False,nan, , ,None
77,False,update, , ,None
78,False,edcce mergemerge priority trunk branch ecdsa, , ,None
79,True,mergetwisted request merge,https://api.github.com/repos/twisted/twisted/issues/1597, ,None
80,False,mergetrunk branch merge, , ,None
81,False,mergetwisted branch merge, , ,None
82,False,result since final callback optional contain, , ,None
83,True,mergeuvloop merge request typeerror andreymzandreymz authorreviewerticketinstead exception typeerror,https://api.github.com/repos/twisted/twisted/issues/1601, ,None
84,False,cceedd mergetrunk branch merge, , ,None
85,False,mergeuvloop merge typeerror trunk branch andreymz, , ,None
86,True,daffb mergemerge request fixed twisted groupregistry group algorithm digestauthor adiroibanreviewerticketregistry group algorithm digest,https://api.github.com/repos/twisted/twisted/issues/1603, ,None
87,False,algorithm digest, , ,None
88,False,nistp lower priority increase, , ,None
89,True,instead false typeerror running debug closed,https://api.github.com/repos/twisted/twisted/issues/10106, ,None
90,True,eaedb mergemerge request global reactor twisted getsessionauthorwsanchez reviewerticketglobal session,https://api.github.com/repos/twisted/twisted/issues/1587, ,None
91,False,typing better, , ,None
92,False,typing better, , ,None
93,False,revert object, , ,None
94,False,comment stale, , ,None
95,False,contains optional, , ,None
96,False,mergemerge global trunk branch reactor getsession, , ,None
97,False,nan, , ,None
98,False,mergetwisted branch merge, , ,None
99,False,simplify, , ,None
100,False,object, , ,None
101,False,mergetrunk branch merge, , ,None
102,False,nan, , ,None
103,False,edits testsemaphore, , ,None
104,False,result, , ,None
105,False,nan, , ,None
106,False,nan, , ,None
107,False,nan, , ,None
108,True,mergetwisted distrial request mergetwisted request branch mergeauthor adiroibanreviewerticketalways write distrial,https://api.github.com/repos/twisted/twisted/issues/123, ,None
109,False,mergedistrial trunk branch merge, , ,None
110,False,twisted newsfragments updateauthored lewis, , ,None
111,False,nan, , ,None
112,False,unused import remove, , ,None
113,False,mergemerge global trunk branch reactor getsession, , ,None
114,False,nan, , ,None
115,False,nan, , ,None
116,False,mergetrunk branch mergeconflicttwisted internet, , ,None
117,False,nan, , ,None
118,False,nan, , ,None
119,False,avoid clean deferredlist bunch caller ignore, , ,None
120,True,cfbab mergetwisted request merge,https://api.github.com/repos/twisted/twisted/issues/1570, ,None
121,False,cfbab mergetrunk branch merge, , ,None
122,True,cdffeb mergemerge request template twisted annotatemthuurne authorwsanchez reviewerticketannotation,https://api.github.com/repos/twisted/twisted/issues/1594, ,None
123,False,deprecation, , ,None
124,False,deprecate containing cloning generator coroutine, , ,None
125,False,start adding, , ,None
126,False,cdffeb mergetrunk branch merge, , ,None
127,False,public import symbolreturn, , ,None
128,False,expand, , ,None
129,False,cdffeb mergemerge template trunk branch annotate, , ,None
130,True,fcdaf mergetwisted request rodrigc mergerodrigc authorwsanchez reviewerticketremove,https://api.github.com/repos/twisted/twisted/issues/1583, ,None
131,False,fcdaf mergetrunk branch merge, , ,None
132,False,fcdaf mergetrunk branch rodrigc merge, , ,None
133,True,dbdef mergemerge request deferred stoplistening return twistedauthorwsanchez reviewerticketreturn,https://api.github.com/repos/twisted/twisted/issues/1586, ,None
134,False,mergemerge deferred stoplistening trunk branch return, , ,None
135,False,abbed mergemerge template trunk branch annotate, , ,None
136,False,remove unnecessary, , ,None
137,False,within module import guardcause problem import since circular, , ,None
138,False,flattenables claim cloneclaimed arbitrary original clonemeaningful since, , ,None
139,False,flattenablerec clarity rename, , ,None
140,False,exposedthrough annotate local variable, , ,None
141,False,docstring, , ,None
142,True,mergemerge request dumbwinproc judgegregg docstringjudgegregg authorreviewerticketdocstring dumbwinproc,https://api.github.com/repos/twisted/twisted/issues/1595, ,None
143,False,mergedistrial trunk branch merge, , ,None
144,False,mergetrunk branch rodrigc merge, , ,None
145,False,exclude coverage raiseexpect, , ,None
146,False,comment charref attrs class, , ,None
147,False,class attrs, , ,None
148,False,class attrs, , ,None
149,False,annotation mandatory, , ,None
150,False,annotation, , ,None
151,False,annotationsince produce consume function objectadded flattenedalias project useful flattenabletwisted exported using publicinclude annotation xmlfileproject support checking assumedeprecated featurestate class tagloader documentationcould irenderable actually implementationaccepts flattenable variable instancestored loaded named objectimplement therefore irenderable assume classincorrect changed accept docstring flattenableirenderable member flattenablepreviously interface supported documentedprovided removed field rtype docstringadditional quite valuedocumented increaseaccuracy, , ,None
152,False,preservation docstring exposer simplifypreservation necessary docstringproper docstrings stillinstead value assignedpreservation docstring broken, , ,None
153,False,existing remove documentationexposedthrough nothing attribute hardcodedinstance documented assignedrenderer decorator since exposethink attribute customizable worthwhilechose rather implement field docstring remove, , ,None
154,False,irequest renderelement acceptlimited request reasonhandler error attribute check whethererror output minimal detailed backtraceimplementer irequest differentoption error output minimal, , ,None
155,False,renderelement docstring mentionedrequest named ambiguity uncovers classtwisted least sense wouldpydoctorerror correct sincehandler unique accessrefers docstring class, , ,None
156,False,without raise valueerror render method using factorywould previous implementation renderresulting attributeerror nonetype objectattribute, , ,None
157,False,renderer typeerror string raiseraise attribute typeerror renderanything string assignedwould accepted break assignment, , ,None
158,False,twisted newsfragments repository, , ,None
159,False,newsfragments directory fragment, , ,None
160,False,remove, , ,None
161,False,annotation improve deferredlist gatherresultscreates given since deferredlist deferredactual passed requireiterableannotation previous result objectargument deferred objectcould specialization validderive resultargument passed deferredlist constructorfirst gatherresultsselects complicationthink result possible differentadded express python classfunction using workaround overloaded, , ,None
162,False,mergetrunk branch merge, , ,None
163,False,error avoid workaround updatesuppressing error succeeded workaround originalsuppression deferredcorrect informationresult errorimport deferreddeferred asyncdetermine error awaitprint, , ,None
164,False,renderelements errbackflatten function return deferredencode since flattenedstring encoded alreadybroken commit pythonhandler failure swallowed since finishoutput already, , ,None
165,False,handler renderelement failure finishfailure returningthanks suggesting, , ,None
166,True,dcabd mergecancel merge request flatten twistedcancellation flattening deferredmthuurne authorglyph reviewerticketdeferred properly cancellation flattening improve,https://api.github.com/repos/twisted/twisted/issues/1593, ,None
167,False,camelcaseauthored glyph, , ,None
168,False,dcabd mergecancel merge flatten trunk branch, , ,None
169,True,mergetwisted ctcpextract request mergeauthor adiroibanreviewerticketiterator update,https://api.github.com/repos/twisted/twisted/issues/1592, ,None
170,False,newline newsfragment, , ,None
171,False,cancellederror handle chain deferredcause failure, , ,None
172,False,handler cancel check deferred using custom, , ,None
173,False,flattening deferred properly cancellation forwardingmethod instead cancel returning, , ,None
174,False,initial, , ,None
175,True,eeaacbb mergecancel merge request flatten twistedmthuurne authorglyph reviewerticketcancellation deferreddemonstrate,https://api.github.com/repos/twisted/twisted/issues/1590, ,None
176,False,empty newsfragmentcaught since thinkrelease mentioned, , ,None
177,False,flattening cancellation forwarding deferred, , ,None
178,False,flattening cancelling, , ,None
179,False,callback document given behavioraround docstring symbol preceeding, , ,None
180,False,docstring deferlater callable, , ,None
181,False,assertion clear useful, , ,None
182,False,docstrings change refer, , ,None
183,False,iterable getdelayedcalls change return, , ,None
184,False,remove repeated, , ,None
185,False,iterable getdelayedcalls change return, , ,None
186,False,eeaacbb mergetrunk branch merge, , ,None
187,False,global sessionreactor renaming associated exposereactor httpfactory superclass attributereactor argument initializer sessionreactor explicit argumentglobalcalled session constructorincorrectargumentadded missing, , ,None
188,False,wheel remove, , ,None
189,False,return, , ,None
