No,Valid,Message,Issue-url,Tag,Category
0,True,acfba mergepatch grail merge puneetbehl requestframework spock,https://api.github.com/repos/pushtorefresh/storio/issues/11883, ,None
1,False,version update ioutilsspec spock, , ,None
2,False,framework spock, , ,None
3,False,snapshot, , ,None
4,False,release, , ,None
5,True,bddec mergepatch grail merge puneetbehl requestgrail profile update,https://api.github.com/repos/pushtorefresh/storio/issues/11879, ,None
6,False,grail profile update, , ,None
7,False,grail plugin profile, , ,None
8,False,improvement release, , ,None
9,True,mergepatch grail merge puneetbehl requestgrail plugin gradle update,https://api.github.com/repos/pushtorefresh/storio/issues/11877, ,None
10,False,grail plugin gradle update, , ,None
11,True,cabdfbdb mergepatch grail merge puneetbehl requestgrail update,https://api.github.com/repos/pushtorefresh/storio/issues/11876, ,None
12,False,grail update, , ,None
13,True,mergepatch grail merge puneetbehl requestgrail update,https://api.github.com/repos/pushtorefresh/storio/issues/11875, ,None
14,False,grail update, , ,None
15,True,mergepatch grail merge puneetbehl requestplugin profile,https://api.github.com/repos/pushtorefresh/storio/issues/11874, ,None
16,False,plugin profile, , ,None
17,True,mergepatch grail merge puneetbehl requestprofile,https://api.github.com/repos/pushtorefresh/storio/issues/11873, ,None
18,False,profile, , ,None
19,True,mergepatch grail merge puneetbehl requestgrail,https://api.github.com/repos/pushtorefresh/storio/issues/11872, ,None
20,False,grail, , ,None
21,True,mergepatch grail merge puneetbehl requestdatastore,https://api.github.com/repos/pushtorefresh/storio/issues/11871, ,None
22,False,datastore, , ,None
23,False,grail plugin deleted gradle, , ,None
24,False,mergetracking merge branch remote origin, , ,None
25,True,mergemerge requestremove obsolete parameter,https://api.github.com/repos/pushtorefresh/storio/issues/11866, ,None
26,True,mergedependabot common grail master merge request gradlecommon,https://api.github.com/repos/pushtorefresh/storio/issues/11862, ,None
27,True,mergemerge description requestmissing description,https://api.github.com/repos/pushtorefresh/storio/issues/11865, ,None
28,True,mergegrail merge requestproblem generating,https://api.github.com/repos/pushtorefresh/storio/issues/11867, ,None
29,False,problem generatingexisting build property, , ,None
30,False,remove obsolete parameterpermgen maxpermsize related since grail requires space already, , ,None
31,False,missing descriptioncleaner gradle output, , ,None
32,True,mergegrail updatetojunit merge requestupdate junit,https://api.github.com/repos/pushtorefresh/storio/issues/11863, ,None
33,False,update junit, , ,None
34,False,commoncommondependabot preview signed support, , ,None
35,False,update releasegenerate draft release, , ,None
36,True,mergegrail merge requestgrail datastore,https://api.github.com/repos/pushtorefresh/storio/issues/11858, ,None
37,False,revert accidental change, , ,None
38,False,grail datastore, , ,None
39,False,random remove stringpuneet signed behlp, , ,None
40,True,merge abcdbeagrail updatebom merge requestgrail profile version update,https://api.github.com/repos/pushtorefresh/storio/issues/11857, ,None
41,False,grail profile version updateplugin decouple grailsversion version property grail gradleprofilepuneet signed behlp, , ,None
42,True,ffdac merge accfdddcpatch grail merge puneetbehl requestspringboot,https://api.github.com/repos/pushtorefresh/storio/issues/11855, ,None
43,False,springboot, , ,None
44,True,merge abcaapatch grail merge puneetbehl requestspring,https://api.github.com/repos/pushtorefresh/storio/issues/11854, ,None
45,False,spring, , ,None
46,True,mergedependabot common grail master merge request gradlecommon,https://api.github.com/repos/pushtorefresh/storio/issues/11850, ,None
47,False,commoncommondependabot preview signed support, , ,None
48,True,mergejunit dependabot grail master merge request runner platform gradlerunner platform junit,https://api.github.com/repos/pushtorefresh/storio/issues/11846, ,None
49,True,ebfca mergeplugin dependabot publish grail master merge nexus request gradleplugin publish,https://api.github.com/repos/pushtorefresh/storio/issues/11847, ,None
50,True,mergeprovider resolver dependabot grail master merge maven request gradleprovider resolver maven,https://api.github.com/repos/pushtorefresh/storio/issues/11849, ,None
51,False,provider resolver mavenapache provider resolver mavenapache release mavenapache commits compare mavendependabot preview signed support, , ,None
52,False,plugin publishnexus plugin publish gradleplugin publish nexus release gradleplugin commits publish nexus compare gradledependabot preview signed support, , ,None
53,False,runner platform junitrunner platform junitrelease junitcommits junitdependabot preview signed support, , ,None
54,True,mergeresolver dependabot grail master merge maven request gradleresolver maven,https://api.github.com/repos/pushtorefresh/storio/issues/11834, ,None
55,True,ccdbc mergedependabot grail master merge snakeyaml request gradlesnakeyaml,https://api.github.com/repos/pushtorefresh/storio/issues/11841, ,None
56,True,mergedependabot tooling grail merge request gradlegradle tooling,https://api.github.com/repos/pushtorefresh/storio/issues/11832, ,None
57,False,resolver mavenapache resolver mavenapache resolver release mavencommits resolver apache compare mavendependabot preview signed support, , ,None
58,False,snakeyamlasomov snakeyamlcommits compare snakeyaml asomov branchdependabot preview signed support, , ,None
59,True,merge aebcfresolver dependabot grail master merge maven request gradle transporttransport resolver maven,https://api.github.com/repos/pushtorefresh/storio/issues/11835, ,None
60,True,fafed mergeresolver dependabot basic grail master merge maven request gradle connectorconnector basic resolver maven,https://api.github.com/repos/pushtorefresh/storio/issues/11833, ,None
61,True,merge dcfcedependabot grail master merge request gradle asciidoctorjasciidoctorj,https://api.github.com/repos/pushtorefresh/storio/issues/11842, ,None
62,False,asciidoctorjasciidoctorj asciidoctorasciidoctorj release asciidoctorasciidoctorj changelog asciidoctorcommits compare asciidoctorj asciidoctordependabot preview signed support, , ,None
63,True,mergejunit dependabot grail master merge engine jupiter request gradleengine jupiter junit,https://api.github.com/repos/pushtorefresh/storio/issues/11815, ,None
64,True,cccfec mergeposix dependabot grail merge request gradleposix,https://api.github.com/repos/pushtorefresh/storio/issues/11826, ,None
65,True,dfdee mergedependabot common grail merge request gradlecommon,https://api.github.com/repos/pushtorefresh/storio/issues/11831, ,None
66,False,transport resolver mavenapache transport resolver mavenapache resolver release mavencommits resolver apache compare mavendependabot preview signed support, , ,None
67,False,connector basic resolver mavenresolver apache basic maven connectorapache resolver release mavencommits resolver apache compare mavendependabot preview signed support, , ,None
68,True,merge eadbaaresolver dependabot grail master merge maven request gradle transporttransport resolver maven,https://api.github.com/repos/pushtorefresh/storio/issues/11836, ,None
69,True,mergepatch grail merge puneetbehl requestplugin profile,https://api.github.com/repos/pushtorefresh/storio/issues/11839, ,None
70,False,plugin profileplugin publish remove grail gradle, , ,None
71,False,grail plugin gradle remove, , ,None
72,False,snapshot, , ,None
73,False,release, , ,None
74,False,commoncommondependabot preview signed support, , ,None
75,False,downgrade revert plugin publish, , ,None
76,False,plugin gradle remove, , ,None
77,False,attempt plugin downgrade publish, , ,None
78,False,profile, , ,None
79,False,transport resolver mavenapache transport resolver mavenapache resolver release mavencommits resolver apache compare mavendependabot preview signed support, , ,None
80,False,gradle toolinggradle toolingdependabot preview signed support, , ,None
81,True,merge adbcbplugin dependabot publish grail nexus merge request gradleplugin publish,https://api.github.com/repos/pushtorefresh/storio/issues/11790, ,None
82,True,mergedependabot grail merge request gradle asciidoctorjasciidoctorj,https://api.github.com/repos/pushtorefresh/storio/issues/11799, ,None
83,False,engine jupiter junitengine jupiter junitrelease junitcommits compare junitdependabot preview signed support, , ,None
84,False,asciidoctorjasciidoctorj asciidoctorasciidoctorj release asciidoctorasciidoctorj changelog asciidoctorcommits compare asciidoctorj asciidoctordependabot preview signed support, , ,None
85,True,merge cbadfjunit dependabot grail master merge jupiter request gradlejupiter junit,https://api.github.com/repos/pushtorefresh/storio/issues/11814, ,None
86,True,mergedependabot grail merge snakeyaml request gradlesnakeyaml,https://api.github.com/repos/pushtorefresh/storio/issues/11829, ,None
87,False,snakeyamlasomov snakeyamlcommits compare snakeyaml asomov branchdependabot preview signed support, , ,None
88,False,posixposixposix releasecommits compare posixdependabot preview signed support, , ,None
89,True,fbcebb ffddf mergegrail merge requestupdate configuration github gradle build,https://api.github.com/repos/pushtorefresh/storio/issues/11824, ,None
90,False,github update build configuration, , ,None
91,False,plugin publishnexus plugin publish gradleplugin publish nexus release gradleplugin commits publish nexus compare gradledependabot preview signed support, , ,None
92,True,merge dfddbddependabot common grail merge request gradlecommon,https://api.github.com/repos/pushtorefresh/storio/issues/11823, ,None
93,True,merge cddedmerge andersaaberg requestcandidate,https://api.github.com/repos/pushtorefresh/storio/issues/11812, ,None
94,False,merge cbefdcgrail branch merge andersaaberg, , ,None
95,True,supported candidate charsequence string limit conversioncandidate databinding string number enable,https://api.github.com/repos/pushtorefresh/storio/issues/11811, ,None
96,False,commoncommondependabot preview signed support, , ,None
97,True,merge bafdaegrail merge bumpspringboot requestspringboot,https://api.github.com/repos/pushtorefresh/storio/issues/11822, ,None
98,True,mergegrail merge requestspring version,https://api.github.com/repos/pushtorefresh/storio/issues/11820, ,None
99,False,springboot, , ,None
100,True,mergegrail merge requestspring version,https://api.github.com/repos/pushtorefresh/storio/issues/11821, ,None
101,False,spring version, , ,None
102,False,spring version, , ,None
103,True,mergeupdate readme grail merge requestupdate readme,https://api.github.com/repos/pushtorefresh/storio/issues/11817, ,None
104,True,merge aebbd dbacaposix dependabot grail merge request gradleposix,https://api.github.com/repos/pushtorefresh/storio/issues/11818, ,None
105,False,posixposixposix releasecommits compare posixdependabot preview signed support, , ,None
106,False,update readme, , ,None
107,False,jupiter junitjupiter junitrelease junitcommits compare junitdependabot preview signed support, , ,None
108,True,supported candidate charsequence string limit conversion,https://api.github.com/repos/pushtorefresh/storio/issues/11811, ,None
