No,Url,Valid,Message,Issue-url,Tag,Category
0,https://api.github.com/repos/LN-Zap/zap-desktop/commits/8e0499aec5ed195bb9d437c30a2bd75634851973,False, chore fix slack link, , ,None
1,https://api.github.com/repos/LN-Zap/zap-desktop/commits/67fd78e1fb65d3beaac1774a85c128877c60d839,False, chore bump version v0.7.4 beta, , ,None
2,https://api.github.com/repos/LN-Zap/zap-desktop/commits/89646517ee9736cda04d4df4b201cc0f3d907973,True, merge pull request 3738 zap next master next merge,https://api.github.com/repos/LN-Zap/zap-desktop/issues/3738, ,None
3,https://api.github.com/repos/LN-Zap/zap-desktop/commits/c3e5c577e00ebc39efe62e87018b67176fb7ac65,True, merge pull request 3737 zap revert csv adjust mode disable remote csv delay option,https://api.github.com/repos/LN-Zap/zap-desktop/issues/3737, ,None
4,https://api.github.com/repos/LN-Zap/zap-desktop/commits/9d4447decfc9a1c8e7be6d7290cc10f7c4f485fc,False, revert create channel comment feat adjust remote csv delay, , ,None
5,https://api.github.com/repos/LN-Zap/zap-desktop/commits/ac42f45d635f6b7380f5e5c23e50df95a1ff896d,True, merge pull request 3734 zap renovate npm browserslist vulnerability chore deps update dependency browserslist v4.16.5 security,https://api.github.com/repos/LN-Zap/zap-desktop/issues/3734,dependencies,General
6,https://api.github.com/repos/LN-Zap/zap-desktop/commits/b3e4c5bc9a3881d7f9cdf80c110854b07b7f8a6e,False, chore deps update dependency browserslist v4.16.5 security, , ,General
7,https://api.github.com/repos/LN-Zap/zap-desktop/commits/caeeac5e086c5466875af94e1456b254720a4476,True, merge pull request 3707 mrfelton feat lnd update lnd 0.12,https://api.github.com/repos/LN-Zap/zap-desktop/issues/3707,type: enhancement,None
8,https://api.github.com/repos/LN-Zap/zap-desktop/commits/40dfb578251f53886a625e30530a218718b9b48f,False, test fixture update testnet node cert, , ,None
9,https://api.github.com/repos/LN-Zap/zap-desktop/commits/bab0c4ee80e41746a6e2e64244a248a68c240158,False, chore deps update lnd grpc 0.4.8, , ,None
10,https://api.github.com/repos/LN-Zap/zap-desktop/commits/bd8cb54ba084d4bac561e203f0698f0fa6d47eb7,False, fix lnd support paying invoice payment secret, , ,None
11,https://api.github.com/repos/LN-Zap/zap-desktop/commits/c599c8382ce9fbb14f003a171f7feeb3d925a223,False, feat lnd update 0.12.0 beta, , ,None
12,https://api.github.com/repos/LN-Zap/zap-desktop/commits/8940f8155c4fb038bc566e448600c91a0e81b484,False, fix lnd implementing neutrino.feeurl, , ,None
13,https://api.github.com/repos/LN-Zap/zap-desktop/commits/e46ef82f2c5071b933f84cc6fbcf9e430101d5b6,False, fix lnd case insensitive parsing lnd debug log, , ,None
14,https://api.github.com/repos/LN-Zap/zap-desktop/commits/0d637e370cfd4918f91172fa251e37b3cdc7a754,False, chore deps update lnd grpc v0.4.7 beta.1, , ,None
15,https://api.github.com/repos/LN-Zap/zap-desktop/commits/e4234ee5c7fdd0fffd73068a315106dfa86431cb,False, refactor switch, , ,None
16,https://api.github.com/repos/LN-Zap/zap-desktop/commits/03b2385a9c4de7ad24dd5978ea0c6978d654ac71,True, merge pull request 3695 rahulbile electron 9.3.4 chore deps update dependency electron v9.3.4,https://api.github.com/repos/LN-Zap/zap-desktop/issues/3695, ,None
17,https://api.github.com/repos/LN-Zap/zap-desktop/commits/e1e09276d9fee2fb99f4e94ddf657642939bad34,False, chore deps update dependency electron v9.3.4, , ,None
18,https://api.github.com/repos/LN-Zap/zap-desktop/commits/782457e980e1e0d6a20ecd796ccd03004eeed143,True, merge pull request 3694 rahulbile linux desktop 3608 adjust desktop icon name per icon image,https://api.github.com/repos/LN-Zap/zap-desktop/issues/3694, ,None
19,https://api.github.com/repos/LN-Zap/zap-desktop/commits/22597b852a5cde397e651afe619203f1aae32c23,False, fix build adjust desktop icon name per icon image fix 3608, , ,None
20,https://api.github.com/repos/LN-Zap/zap-desktop/commits/f9ddc7f8ad0c685ab748364af338a46229fd58a1,True, merge pull request 3691 rahulbile electron update 3670 electron update 3670,https://api.github.com/repos/LN-Zap/zap-desktop/issues/3691, ,None
21,https://api.github.com/repos/LN-Zap/zap-desktop/commits/c2f46a015411eaf267f08ce873c096831f9ba9f2,True, merge pull request 3690 rahulbile wallet name 1262 ability add wallet name connecting remote node,https://api.github.com/repos/LN-Zap/zap-desktop/issues/3690, ,None
22,https://api.github.com/repos/LN-Zap/zap-desktop/commits/bd89ff239722e05e9381caacb3cc23292489ec23,False, test e2e set wallet name onboarding, , ,None
